member_casual,end_station_name,end_count
casual,Central St Metra,471
casual,Budlong Woods Library,469
casual,Kedzie Ave & Chicago Ave,469
casual,Sawyer Ave & Irving Park Rd,467
casual,Conservatory Dr & Lake St,458
casual,Keystone Ave & Montrose Ave,449
casual,Western Ave & Lunt Ave,442
casual,Knox Ave & Montrose Ave,436
casual,Dorchester Ave & 63rd St,435
casual,Kedzie Ave & Bryn Mawr Ave,435
casual,Leavitt St & Archer Ave,424
casual,Racine Ave & 13th St,422
casual,Cottage Grove Ave & 43rd St,422
casual,Prairie Ave & 43rd St,417
casual,Central St & Girard Ave,417
casual,Clark St & Touhy Ave,415
casual,Racine Ave & 35th St,414
casual,Elmwood Ave & Austin St,411
casual,Troy St & Grace St,396
casual,Western Ave & Howard St,392
casual,Clinton St & Polk St,391
casual,Burnham Greenway & 112th St,391
casual,Francisco Ave & Montrose Ave,386
casual,Milwaukee Ave & Cuyler Ave,382
casual,Wood St & 35th St,378
casual,2112 W Peterson Ave,378
casual,Elizabeth St & Fulton St,378
casual,Pulaski Rd & Eddy St (Temp),371
casual,Warren Park East,369
casual,Washtenaw Ave & Ogden Ave,369
casual,Central Park Ave & Ogden Ave,369
casual,Western Ave & Grace St,368
casual,Ashland Ave & Archer Ave,364
casual,California Ave & Lake St,363
casual,Valli Produce - Evanston Plaza,362
casual,Dorchester Ave & 49th St,357
casual,Kedzie Ave & 48th Pl,355
casual,Calumet Ave & 51st St,352
casual,Jeffery Blvd & 67th St,352
casual,Maplewood Ave & Peterson Ave,349
casual,N Southport Ave & W Newport Ave,348
casual,Long & Irving Park,346
casual,DuSable Museum,341
casual,St. Louis Ave & Balmoral Ave,338
casual,Narragansett & Wrightwood,336
casual,MLK Jr Dr & 47th St,329
casual,Sacramento Blvd & Addison St,328
casual,N Shore Channel Trail & Argyle St,326
casual,Normal Ave & Archer Ave,325
casual,Damen Ave & Coulter St,322
casual,Ridge Blvd & Touhy Ave,317
casual,Dodge Ave & Church St,314
casual,Harlem & Irving Park,309
casual,Western Ave & 24th St,309
casual,Stony Island Ave & 67th St,304
casual,Lincolnwood Dr & Central St,300
casual,State St & 29th St,298
casual,Jeffery Blvd & 71st St,294
casual,Kedzie Ave & Lake St,292
casual,Kedzie Ave & 21st St,284
casual,Kildare Ave & Montrose Ave,284
casual,State St & 95th St,283
casual,Oakley Ave & Touhy Ave,270
casual,Stony Island Ave & 64th St,268
casual,Fairfield Ave & Roosevelt Rd,265
casual,Pulaski Rd & 51st St,264
casual,Eberhart Ave & 61st St,262
casual,Ridge Blvd & Howard St,260
casual,Dodge Ave & Mulford St,252
casual,Clark St & Jarvis Ave,248
casual,Princeton Ave & 47th St,248
casual,Austin Blvd & Lake St,245
casual,Millard Ave & 26th St,245
casual,Kedzie Ave & George St,239
casual,Elston Ave & Henderson St,239
casual,Hoyne Ave & 47th St,237
casual,Western Ave & Gunnison St,237
casual,Stony Island Ave & 71st St,237
casual,Dodge Ave & Main St,233
casual,Whipple/Irving Park,233
casual,Indiana Ave & 40th St,232
casual,Kedzie Ave & Roosevelt Rd,230
casual,State St & 79th St,229
casual,Western Blvd & 48th Pl,229
casual,MLK Jr Dr & 63rd St,228
casual,Halsted St & 37th St,227
casual,California Ave & 23rd Pl,223
casual,Wentworth Ave & 63rd St,219
casual,Albany Ave & 26th St,217
casual,Lincoln Ave & Balmoral Ave,217
casual,Rockwell St & Cermak Rd,216
casual,South Shore Dr & 74th St,214
casual,Bosworth Ave & Howard St,213
casual,N Paulina St & Lincoln Ave,213
casual,Archer (Damen) Ave & 37th St,210
casual,Damen Ave & Pershing Rd,209
casual,Francisco Ave & Bloomingdale Ave,209
casual,Calumet Park,208
casual,Western Ave & Berteau Ave,205
casual,Washtenaw Ave & Polk St,203
casual,Central Park Ave & 24th St,203
casual,Burnham Greenway & 105th St,202
casual,Lawler Ave & 50th St,201
casual,Albany Ave & Belmont Ave,200
casual,Kilbourn Ave & Irving Park Rd,197
casual,Lamon Ave & Belmont Ave,196
casual,Damen Ave & 59th St,193
casual,Union Ave & Root St,191
casual,Commercial Ave & 130th St,182
casual,Kilpatrick Ave & Parker Ave,182
casual,Kilbourn & Roscoe,181
casual,Central Ave & Chicago Ave,181
casual,MLK Jr Dr & 56th St,180
casual,Perry Ave & 69th St,180
casual,Kedzie Ave & 57th St,180
casual,Wabash Ave & 87th St,177
casual,W Washington Blvd & N Peoria St,176
casual,Big Marsh Park,172
casual,Shields Ave & 43rd St,171
casual,Kedzie Ave & 24th St,169
casual,Stony Island Ave & 75th St,169
casual,Kilbourn Ave & Milwaukee Ave,169
casual,Halsted St & 47th Pl,167
casual,Wolcott Ave & Fargo Ave,167
casual,Lincoln Ave & Peterson Ave,166
casual,Cottage Grove Ave & 67th St,164
casual,Phillips Ave & 79th St,163
casual,Western Ave & 111th St,161
casual,Cottage Grove Ave & 83rd St,159
casual,Walden Pkwy & 100th St,158
casual,Vernon Ave & 79th St,157
casual,Yates Blvd & 75th St,157
casual,Ashland Ave & McDowell Ave,156
casual,Public Rack - California Ave & Cortez St,156
casual,Rockwell St & Archer Ave,155
casual,Campbell Ave & Irving Park Rd,155
casual,Sayre & Diversey,154
